sample_group	score_threshold_pa	fraction_at_or_above	n_callable
MHV-wt	10.950000000000001	0.0025562105482810787	19169
MHV-wt	10.975000000000001	0.002451875423861443	19169
MHV-wt	11.0	0.002451875423861443	19169
MHV-wt	11.025	0.002451875423861443	19169
MHV-wt	11.05	0.002399707861651625	19169
MHV-wt	11.075000000000001	0.002399707861651625	19169
MHV-wt	11.100000000000001	0.0023475402994418072	19169
MHV-wt	11.125	0.0023475402994418072	19169
MHV-wt	11.15	0.002295372737231989	19169
MHV-wt	11.175	0.0021910376128123532	19169
MHV-wt	11.200000000000001	0.0021388700506025354	19169
MHV-wt	11.225000000000001	0.0021388700506025354	19169
MHV-wt	11.25	0.0021388700506025354	19169
MHV-wt	11.275	0.0021388700506025354	19169
MHV-wt	11.3	0.0021388700506025354	19169
MHV-wt	11.325000000000001	0.0020867024883927175	19169
MHV-wt	11.350000000000001	0.0020345349261828996	19169
MHV-wt	11.375	0.0019823673639730813	19169
MHV-wt	11.4	0.0019823673639730813	19169
MHV-wt	11.425	0.0019823673639730813	19169
MHV-wt	11.450000000000001	0.0019823673639730813	19169
MHV-wt	11.475000000000001	0.0019823673639730813	19169
MHV-wt	11.5	0.0019823673639730813	19169
MHV-wt	11.525	0.0019301998017632637	19169
MHV-wt	11.55	0.0019301998017632637	19169
MHV-wt	11.575000000000001	0.0018780322395534456	19169
MHV-wt	11.600000000000001	0.0018258646773436278	19169
MHV-wt	11.625	0.0018258646773436278	19169
MHV-wt	11.65	0.0018258646773436278	19169
MHV-wt	11.675	0.0018258646773436278	19169
MHV-wt	11.700000000000001	0.0018258646773436278	19169
MHV-wt	11.725000000000001	0.00177369711513381	19169
MHV-wt	11.75	0.00177369711513381	19169
MHV-wt	11.775	0.00177369711513381	19169
MHV-wt	11.8	0.00177369711513381	19169
MHV-wt	11.825000000000001	0.0017215295529239918	19169
MHV-wt	11.850000000000001	0.0017215295529239918	19169
MHV-wt	11.875	0.0017215295529239918	19169
MHV-wt	11.9	0.0017215295529239918	19169
MHV-wt	11.925	0.0017215295529239918	19169
MHV-wt	11.950000000000001	0.0017215295529239918	19169
MHV-wt	11.975000000000001	0.0017215295529239918	19169
MHV-wt	12.0	0.0017215295529239918	19169
MHV-wt	12.025	0.0017215295529239918	19169
MHV-wt	12.05	0.0017215295529239918	19169
MHV-wt	12.075000000000001	0.0017215295529239918	19169
MHV-wt	12.100000000000001	0.001669361990714174	19169
MHV-wt	12.125	0.001669361990714174	19169
MHV-wt	12.15	0.001565026866294538	19169
MHV-wt	12.175	0.001565026866294538	19169
MHV-wt	12.200000000000001	0.001565026866294538	19169
MHV-wt	12.225000000000001	0.001565026866294538	19169
MHV-wt	12.25	0.001565026866294538	19169
MHV-wt	12.275	0.0015128593040847202	19169
MHV-wt	12.3	0.0015128593040847202	19169
MHV-wt	12.325000000000001	0.0015128593040847202	19169
MHV-wt	12.350000000000001	0.001460691741874902	19169
MHV-wt	12.375	0.001460691741874902	19169
MHV-wt	12.4	0.001460691741874902	19169
MHV-wt	12.425	0.001460691741874902	19169
MHV-wt	12.450000000000001	0.001460691741874902	19169
MHV-wt	12.475000000000001	0.001460691741874902	19169
MHV-wt	12.5	0.001460691741874902	19169
MHV-wt	12.525	0.001460691741874902	19169
MHV-wt	12.55	0.001460691741874902	19169
MHV-wt	12.575000000000001	0.001460691741874902	19169
MHV-wt	12.600000000000001	0.0014085241796650842	19169
MHV-wt	12.625	0.0014085241796650842	19169
MHV-wt	12.65	0.0014085241796650842	19169
MHV-wt	12.675	0.0014085241796650842	19169
MHV-wt	12.700000000000001	0.0014085241796650842	19169
MHV-wt	12.725000000000001	0.0014085241796650842	19169
MHV-wt	12.75	0.0014085241796650842	19169
